,title,author,pub_year,avg_rate,num_rate,shelved,series_name,series_num
205,The Sword of Shannara,Terry Brooks,1977,3.76,92628,7026,The Original Shannara Trilogy,1.0
206,Seraphina,Rachel Hartman,2012,3.94,84557,7020,Seraphina,1.0
207,Days of Blood & Starlight,Laini Taylor,2012,4.14,156086,7019,Daughter of Smoke & Bone,2.0
208,The Warded Man,Peter V. Brett,2008,4.24,117794,6985,The Demon Cycle,1.0
209,Heartless,Marissa Meyer,2016,4.08,152282,6981,,
210,The Gathering Storm,Robert Jordan,2009,4.4,145238,6953,The Wheel of Time,12.0
211,The Last Unicorn,Peter S. Beagle,1968,4.16,102404,6938,The Last Unicorn,1.0
212,Knife of Dreams,Robert Jordan,2005,4.17,117830,6929,The Wheel of Time,11.0
213,Cress,Marissa Meyer,2014,4.42,332226,6830,The Lunar Chronicles,3.0
214,A Curse So Dark and Lonely,Brigid Kemmerer,2019,4.02,123586,6791,Cursebreakers,1.0
215,Nevernight,Jay Kristoff,2016,4.23,79708,6780,The Nevernight Chronicle,1.0
216,Dune,Frank Herbert,1965,4.25,1128902,6751,Dune,1.0
217,The Slow Regard of Silent Things,Patrick Rothfuss,2014,3.89,132399,6700,The Kingkiller Chronicle,2.5
218,A Torch Against the Night,Sabaa Tahir,2016,4.25,137993,6683,An Ember in the Ashes,2.0
219,The Blood of Olympus,Rick Riordan,2014,4.43,271311,6676,The Heroes of Olympus,5.0
220,The Queen of the Tearling,Erika Johansen,2014,3.99,90409,6675,The Queen of the Tearling,1.0
221,The Amulet of Samarkand,Jonathan Stroud,2003,4.02,123320,6666,Bartimaeus,1.0
222,Dragonflight,Anne McCaffrey,1968,4.09,132764,6614,Dragonriders of Pern,1.0
223,Furies of Calderon,Jim Butcher,2004,4.12,103220,6593,Codex Alera,1.0
224,Quidditch Through the Ages,J.K. Rowling,2001,3.82,168486,6569,,
225,The Little Prince,Antoine de Saint-Exupéry,1943,4.32,1795450,6526,,
226,Towers of Midnight,Robert Jordan,2010,4.45,142715,6526,The Wheel of Time,13.0
227,Ship of Magic,Robin Hobb,1998,4.18,73185,6523,Liveship Traders,1.0
228,Small Gods,Terry Pratchett,1992,4.31,111817,6446,Discworld,13.0
229,The Iron King,Julie Kagawa,2010,3.88,207143,6443,The Iron Fey,1.0
230,The Ten Thousand Doors of January,Alix E. Harrow,2019,4.05,105146,6427,,
231,Vampire Academy,Richelle Mead,2007,4.11,614645,6413,Vampire Academy,1.0
232,The Kiss of Deception,Mary E. Pearson,2014,3.96,116569,6377,The Remnant Chronicles,1.0
233,Shadows of Self,Brandon Sanderson,2015,4.29,112968,6357,Mistborn,5.0
234,"Blue Lily, Lily Blue",Maggie Stiefvater,2014,4.26,148196,6268,The Raven Cycle,3.0
235,Winter,Marissa Meyer,2015,4.43,246082,6214,The Lunar Chronicles,4.0
236,The Time of Contempt,Andrzej Sapkowski,1995,4.17,112701,6206,The Witcher,2.0
237,Kushiel's Dart,Jacqueline Carey,2001,4.01,77085,6206,Phèdre's Trilogy,1.0
238,Sourcery,Terry Pratchett,1988,3.9,91181,6191,Discworld,5.0
239,Reaper Man,Terry Pratchett,1991,4.27,93585,6179,Discworld,11.0
240,Lirael,Garth Nix,2001,4.28,114614,6167,Abhorsen,2.0
241,Interview with the Vampire,Anne Rice,1976,4.01,540107,6142,The Vampire Chronicles,1.0
242,Lady Midnight,Cassandra Clare,2016,4.38,209077,6117,The Dark Artifices,1.0
243,The Young Elites,Marie Lu,2014,3.88,128020,6110,The Young Elites,1.0
244,Bitterblue,Kristin Cashore,2012,4.0,112109,6102,Graceling Realm,3.0
245,Grave Peril,Jim Butcher,2001,4.14,154788,6084,The Dresden Files,3.0
246,Going Postal,Terry Pratchett,2004,4.39,114888,6051,Discworld,33.0
247,The Wee Free Men,Terry Pratchett,2003,4.27,104496,6045,Discworld,30.0
248,The Waste Lands,Stephen King,1991,4.24,204783,6032,The Dark Tower,3.0
249,Daughter of the Forest,Juliet Marillier,1999,4.27,60943,6028,Sevenwaters,1.0
250,A Memory of Light,Robert Jordan,2013,4.54,127083,6015,The Wheel of Time,14.0
251,The Children of Húrin,J.R.R. Tolkien,2007,4.0,75473,5999,,
252,Three Dark Crowns,Kendare Blake,2016,3.82,99257,5980,Three Dark Crowns,1.0
253,Kingdom of the Wicked,Kerri Maniscalco,2020,3.96,152224,5946,Kingdom of the Wicked,1.0
254,The Republic of Thieves,Scott Lynch,2013,4.21,97991,5934,Gentleman Bastard,3.0
255,The Stone Sky,N.K. Jemisin,2017,4.36,109614,5931,The Broken Earth,3.0
256,Hogfather,Terry Pratchett,1996,4.24,86234,5890,Discworld,20.0
257,The Farthest Shore,Ursula K. Le Guin,1972,4.12,104340,5859,Earthsea Cycle,3.0
