,title,author,pub_year,avg_rate,num_rate,shelved,series_name,series_num
120,Cibola Burn,James S.A. Corey,2014,4.2,89470,2624,The Expanse,4
121,Foundation and Earth,Isaac Asimov,1986,4.07,65612,2618,Foundation,5
122,The Fifth Season,N.K. Jemisin,2015,4.32,214749,2617,The Broken Earth,1
123,Sphere,Michael Crichton,1987,3.82,176628,2617,,
124,Prelude to Foundation,Isaac Asimov,1988,4.15,80255,2574,,
125,"The Diamond Age: Or, a Young Lady's Illustrated Primer",Neal Stephenson,1995,4.16,87313,2571,,
126,11/22/63,Stephen King,2011,4.32,485279,2566,,
127,Doomsday Book,Connie Willis,1992,4.03,55673,2545,Oxford Time Travel,1
128,The Sparrow,Mary Doria Russell,1996,4.13,70266,2532,The Sparrow,1
129,A Scanner Darkly,Philip K. Dick,1977,4.02,97547,2521,,
130,The Dark Forest,Liu Cixin,2008,4.41,101703,2514,Remembrance of Earth’s Past,2
131,"Saga, Volume 1",Brian K. Vaughan,2012,4.17,303222,2508,,
132,Morning Star,Pierce Brown,2016,4.48,155592,2506,Red Rising Saga,3
133,The Ghost Brigades,John Scalzi,2006,4.11,77044,2461,Old Man's War,2
134,Armada,Ernest Cline,2015,3.54,112371,2453,,
135,Lock In,John Scalzi,2014,3.9,62094,2444,Lock In,1
136,The Stars My Destination,Alfred Bester,1956,4.08,47352,2431,,
137,The Knife of Never Letting Go,Patrick Ness,2008,3.97,183805,2415,Chaos Walking,1
138,Timeline,Michael Crichton,1999,3.86,199081,2413,,
139,Scythe,Neal Shusterman,2016,4.33,227875,2412,Arc of a Scythe,1
140,A Fire Upon the Deep,Vernor Vinge,1992,4.13,56553,2411,Zones of Thought,1
141,The Illustrated Man,Ray Bradbury,1951,4.13,90248,2402,,
142,The Sirens of Titan,Kurt Vonnegut Jr.,1959,4.14,129194,2379,,
143,The Naked Sun,Isaac Asimov,1958,4.17,51423,2370,Robot,2
144,The Lost World,Michael Crichton,1995,3.82,140597,2368,Jurassic Park,2
145,A Memory Called Empire,Arkady Martine,2019,4.13,40352,2347,Teixcalaan,1
146,Heretics of Dune,Frank Herbert,1984,3.88,68637,2335,Dune,5
147,The Player of Games,Iain M. Banks,1988,4.27,66542,2326,Culture,2
